name,slug,description,parent,icon,image,isActive,productType
Electronics,electronics,All electronic devices and accessories,,fas fa-tv,electronics_banner.jpg,true,physical
Mobile Phones,mobile-phones,Smartphones and feature phones,Electronics,fas fa-mobile-alt,mobile_banner.jpg,true,physical
Laptops,laptops,Portable computers for work and play,Electronics,fas fa-laptop,laptop_banner.jpg,true,physical
Home Appliances,home-appliances,Essential appliances for your home,Electronics,fas fa-home,appliances_banner.jpg,true,physical
Fashion,fashion,Clothing and accessories for all ages,,fas fa-tshirt,fashion_banner.jpg,true,physical
Men's Clothing,mens-clothing,Clothing for men,Fashion,fas fa-male,men_banner.jpg,true,physical
Women's Clothing,womens-clothing,Clothing for women,Fashion,fas fa-female,women_banner.jpg,true,physical
Kids' Wear,kids-wear,Clothing for children,Fashion,fas fa-child,kids_banner.jpg,true,physical
Books,books,Books across various genres and subjects,,fas fa-book,books_banner.jpg,true,physical
Fiction,fiction,Novels and story books,Books,fas fa-book-open,fiction_banner.jpg,true,physical
Non-Fiction,non-fiction,Educational and informative books,Books,fas fa-graduation-cap,non_fiction_banner.jpg,true,physical
Programming Courses,programming-courses,Learn various programming languages and frameworks,,fas fa-code,programming_banner.jpg,true,course
Web Development,web-development,Frontend and backend web development courses,Programming Courses,fas fa-globe,web_dev_banner.jpg,true,course
Mobile App Development,mobile-app-development,Android and iOS app development courses,Programming Courses,fas fa-mobile-alt,app_dev_banner.jpg,true,course
Data Science,data-science,Data analysis and machine learning courses,Programming Courses,fas fa-chart-bar,data_science_banner.jpg,true,course
Business & Management,business-management,Courses related to business skills and management,,fas fa-briefcase,business_banner.jpg,true,course
Finance,finance,Financial management and investment courses,Business & Management,fas fa-rupee-sign,finance_banner.jpg,true,course
Marketing,marketing,Digital and traditional marketing courses,Business & Management,fas fa-ad,marketing_banner.jpg,true,course
Personal Development,personal-development,Self-improvement and soft skills courses,,fas fa-user-graduate,personal_dev_banner.jpg,true,course
Communication Skills,communication-skills,Public speaking and effective communication courses,Personal Development,fas fa-comments,communication_banner.jpg,true,course
Leadership,leadership,Leadership and team management courses,Personal Development,fas fa-users,leadership_banner.jpg,true,course
Traditional Arts,traditional-arts,Discover India's rich artistic heritage through handcrafted products made using traditional techniques passed down through generations.,,PiPaintbrush,traditional_arts.jpg,true,physical
Textile Arts,textile-arts,Beautiful handwoven and hand-printed textiles made using traditional techniques by skilled artisans.,Traditional Arts,PiScissors,textile_arts.jpg,true,physical
Natural Materials,natural-materials,Eco-friendly products crafted from sustainable natural materials like bamboo jute and palm leaf.,Traditional Arts,PiLeaf,natural_materials.jpg,true,physical
Pottery & Ceramics,pottery-ceramics,Handcrafted pottery items made using traditional techniques by skilled potters across India.,Traditional Arts,PiFlask,pottery_ceramics.jpg,true,physical
Woodworking,woodworking,Beautiful wooden products handcrafted by skilled artisans using traditional carpentry and carving techniques.,Traditional Arts,PiTree,woodworking.jpg,true,physical
Home & Living,home-living,Beautiful handcrafted products to enhance your living spaces while supporting traditional artisans.,,PiHouse,home_living.jpg,true,physical
Home Decor,home-decor,Handcrafted decorative items for your home made by traditional artisans.,Home & Living,PiFrameCorners,home_decor.jpg,true,physical
Kitchen & Dining,kitchen-dining,Traditional kitchen and dining items combining functionality with artisanal craftsmanship.,Home & Living,PiCookingPot,kitchen_dining.jpg,true,physical
Garden & Outdoor,garden-outdoor,Handcrafted products for garden and outdoor spaces made using traditional techniques.,Home & Living,PiFlowerTulip,garden_outdoor.jpg,true,physical
Religious & Festive,religious-festive,Traditional items for religious ceremonies and festivals made by skilled artisans.,Home & Living,PiStar,religious_festive.jpg,true,physical
Storage Solutions,storage-solutions,Beautiful and functional storage solutions handcrafted by traditional artisans.,Home & Living,PiArchive,storage_solutions.jpg,true,physical
Fashion,fashion-traditional,Handcrafted fashion items created using traditional techniques by skilled artisans.,,PiTShirt,fashion.jpg,true,physical
Women's Accessories,womens-accessories,Beautiful handcrafted accessories for women made using traditional techniques.,Fashion,PiHandbag,womens_accessories.jpg,true,physical
Women's Ethnic Wear,womens-ethnic-wear,Traditional handwoven and hand-printed ethnic clothing for women.,Fashion,PiDress,womens_ethnic_wear.jpg,true,physical
Men's Accessories,mens-accessories,Handcrafted traditional accessories for men.,Fashion,PiTie,mens_accessories.jpg,true,physical
Bags & Accessories,bags-accessories,Handcrafted bags and accessories made using traditional techniques with sustainable materials.,Fashion,PiBag,bags_accessories.jpg,true,physical
Tech Accessories,tech-accessories,Modern tech accessories with traditional craftsmanship.,Fashion,PiDevice,tech_accessories.jpg,true,physical
Food & Beverages,food-beverages,Traditional and organic food products made by rural producers using traditional methods.,,PiCookie,food_beverages.jpg,true,physical
Honey & Preserves,honey-preserves,Pure and natural honey and preserves collected and made using traditional methods.,Food & Beverages,PiJar,honey_preserves.jpg,true,physical
Snacks & Cookies,snacks-cookies,Healthy traditional snacks made with ancient grains and natural ingredients.,Food & Beverages,PiCookie,snacks_cookies.jpg,true,physical
Breakfast Foods,breakfast-foods,Traditional breakfast items made with ancient grains and natural ingredients.,Food & Beverages,PiBowl,breakfast_foods.jpg,true,physical
